0.000	0.000
-4.311	7.759
-0.158	0.227
-0.667	2.189
-2.730	6.728
-2.284	7.261
-2.530	4.452
-2.276	1.268
-1.726	9.509
-1.296	6.725
-0.704	8.130
-0.932	8.929
-1.179	7.532
-1.381	8.770
-1.618	7.243
-1.974	6.675
-2.004	6.341
-2.282	6.010
-2.373	8.970
-2.592	7.357
-2.671	7.443
-2.554	2.948
-2.478	3.634
-2.540	7.441
-2.782	5.504
-3.070	7.721
-3.266	10.414
-3.125	8.090
-3.286	6.223
-3.415	6.576
-3.524	4.345
-3.502	3.356
-3.797	4.567
-3.800	4.181
-3.691	4.370
-3.759	3.427
-3.681	3.418
-3.539	3.882
-3.760	4.380
-3.842	4.096
-3.809	3.771
-3.792	5.273
-3.907	4.817
-3.965	5.675
-4.009	5.824
-3.957	7.358
-3.785	5.941
-3.801	6.532
-3.971	7.879
-4.119	7.887
-4.126	9.498
-3.990	8.381
-4.066	7.028
-4.135	8.479
-4.042	8.568
-3.926	8.501
-3.881	7.835
-3.790	9.200
-3.660	8.760
-3.668	7.687
-3.715	7.644
-3.665	8.635
-3.595	7.942
-3.659	7.784
-3.755	7.368
-3.914	6.470
-4.035	7.604
-4.113	8.262
-4.244	7.470
-4.305	6.917
-4.472	7.231
-4.614	8.336
-4.672	8.284
-4.755	8.297
-4.791	7.383
-4.864	7.456
-4.909	7.030
-5.005	6.751
-5.120	6.454
-5.193	6.141
-5.189	6.501
-5.184	6.901
-5.235	7.566
-5.300	8.483
-5.333	9.041
-5.302	8.415
-5.261	8.741
-5.272	8.979
-5.352	8.966
-5.357	10.276
-5.418	10.112
-5.545	10.422
-5.616	9.919
-5.704	9.800
-5.856	9.653
-5.880	10.099
-6.002	10.283
-6.065	9.210
-6.106	9.251
-6.194	9.531
-6.151	9.163
-6.212	10.500
-6.337	10.049
-6.388	9.768
-6.474	10.019
-6.540	9.860
-6.577	9.771
-6.591	9.636
-6.623	9.422
-6.674	9.596
-6.683	10.023
-6.733	10.084
-6.785	9.846
-6.826	9.995
-6.850	9.428
-6.871	9.723
-6.802	9.319
-6.839	9.314
-6.895	8.793
-6.825	8.078
-6.883	8.351
-6.940	8.424
-6.953	8.615
-7.079	7.848
-7.102	8.922
-7.230	9.855
-7.317	10.064
-7.360	9.992
-7.423	10.030
-7.417	9.866
-7.540	10.004
-7.585	10.588
-7.672	10.428
-7.759	11.134
-7.762	11.405
-7.760	11.278
-7.774	11.118
-7.855	11.166
-7.919	10.889
-7.904	10.812
-8.009	11.006
-8.048	11.288
-8.035	11.344
-8.079	11.033
-8.078	11.275
-8.173	11.667
-8.288	11.706
-8.343	11.461
-8.451	10.888
-8.536	10.802
-8.609	10.798
-8.668	10.497
-8.698	10.151
-8.782	10.224
-8.864	10.380
-8.961	11.011
-9.037	10.928
-9.177	11.217
-9.315	11.137
-9.478	10.981
-9.614	11.380
-9.698	10.734
-9.742	10.599
-9.876	10.358
-9.966	10.111
-10.043	9.712
-10.166	9.368
-10.248	9.222
-10.423	9.895
-10.482	10.482
-10.611	10.095
-10.690	10.007
-10.776	9.742
-10.924	9.877
-10.982	8.782
-11.120	8.416
-11.192	8.162
-11.298	8.651
-11.389	8.185
-11.571	8.677
-11.672	8.044
